date,forex_reserves_usd
01-04-1985,6374354769.00
01-05-1985,6271733492.00
01-06-1985,6198352314.00
01-07-1985,6063375381.00
01-08-1985,6005903421.00
01-09-1985,6367162713.00
01-10-1985,6502758214.00
01-11-1985,6575708601.00
01-12-1985,6420353251.00
01-01-1986,5937279432.00
01-02-1986,5857059734.00
01-03-1986,6657485982.00
01-04-1986,6956432823.00
01-05-1986,6642267564.00
01-06-1986,6427989602.00
01-07-1986,5976875401.00
01-08-1986,5961147361.00
01-09-1986,6119797117.00
01-10-1986,5869760991.00
01-11-1986,5936165085.00
01-12-1986,6395732658.00
01-01-1987,6254917353.00
01-02-1987,6128129150.00
01-03-1987,6729561627.00
01-04-1987,6496082504.00
01-05-1987,6430542297.00
01-06-1987,6427064412.00
01-07-1987,5955182277.00
01-08-1987,5762599855.00
01-09-1987,5944344210.00
01-10-1987,6140970143.00
01-11-1987,6057666497.00
01-12-1987,6453558243.00
01-01-1988,5646554985.00
01-02-1988,5738917659.00
01-03-1988,6390553862.00
01-04-1988,6197894802.00
01-05-1988,5563905403.00
01-06-1988,4876678899.00
01-07-1988,4674990043.00
01-08-1988,4418076775.00
01-09-1988,4515381233.00
01-10-1988,5081577303.00
01-11-1988,4892813068.00
01-12-1988,4899288504.00
01-01-1989,4382706379.00
01-02-1989,4362942806.00
01-03-1989,4958629238.00
01-04-1989,4535296135.00
01-05-1989,4019425072.00
01-06-1989,4399168013.00
01-07-1989,4262884254.00
01-08-1989,3567222954.00
01-09-1989,3664409934.00
01-10-1989,3861595466.00
01-11-1989,3698375163.00
01-12-1989,3858554814.00
01-01-1990,3615202948.00
01-02-1990,4001463399.00
01-03-1990,4108367354.00
01-04-1990,3772606028.00
01-05-1990,3849237382.00
01-06-1990,3835079856.00
01-07-1990,3533224811.00
01-08-1990,3578725195.00
01-09-1990,2992997493.00
01-10-1990,2533494305.00
01-11-1990,2047939891.00
01-12-1990,1520972173.00
01-01-1991,2734004103.00
01-02-1991,2441889937.00
01-03-1991,2338211990.00
01-04-1991,1448842321.00
01-05-1991,1335011799.00
01-06-1991,1186754686.00
01-07-1991,1403126011.00
01-08-1991,1190254629.00
01-09-1991,1905980848.00
01-10-1991,2464277375.00
01-11-1991,2751970038.00
01-12-1991,3626589137.00
01-01-1992,3902442674.00
01-02-1992,4253043416.00
01-03-1992,5721699588.00
01-04-1992,5636082733.00
01-05-1992,5570459332.00
01-06-1992,6336309204.00
01-07-1992,6557601814.00
01-08-1992,6344112772.00
01-09-1992,5811921056.00
01-10-1992,5497169598.00
01-11-1992,4853668542.00
01-12-1992,5757134861.00
01-01-1993,5625972570.00
01-02-1993,5558035916.00
01-03-1993,6748906702.00
01-04-1993,7329718683.00
01-05-1993,6878561595.00
01-06-1993,7038394104.00
01-07-1993,7201572791.00
01-08-1993,7647974607.00
01-09-1993,7991741997.00
01-10-1993,8372300779.00
01-11-1993,8615071695.00
01-12-1993,10199123472.00
01-01-1994,10937172314.00
01-02-1994,13506564504.00
01-03-1994,15476410037.00
01-04-1994,15435779187.00
01-05-1994,15830234214.00
01-06-1994,16724796510.00
01-07-1994,17886316595.00
01-08-1994,17992387260.00
01-09-1994,19170606372.00
01-10-1994,20163089053.00
01-11-1994,19804806271.00
01-12-1994,19698471269.00
01-01-1995,20081437643.00
01-02-1995,20268267905.00
01-03-1995,21160083813.00
01-04-1995,20890932294.00
01-05-1995,20628058906.00
01-06-1995,20029247724.00
01-07-1995,20233651554.00
01-08-1995,19353568862.00
01-09-1995,19433026931.00
01-10-1995,18109678191.00
01-11-1995,17668750215.00
01-12-1995,17921806913.00
01-01-1996,16666695434.00
01-02-1996,16304787812.00
01-03-1996,17436294038.00
01-04-1996,17407902578.00
01-05-1996,17418040887.00
01-06-1996,17961104345.00
01-07-1996,18342743623.00
01-08-1996,18295875859.00
01-09-1996,18795661887.00
01-10-1996,19560250289.00
01-11-1996,19712141334.00
01-12-1996,20170156506.00
01-01-1997,20172786487.00
01-02-1997,19991387057.00
01-03-1997,22663803868.00
01-04-1997,22991629736.00
01-05-1997,24463719004.00
01-06-1997,25702453937.00
01-07-1997,26348071893.00
01-08-1997,26790246322.00
01-09-1997,26017256930.00
01-10-1997,26570575074.00
01-11-1997,24668939641.00
01-12-1997,24688314295.00
01-01-1998,24807577080.00
01-02-1998,24335145553.00
01-03-1998,26260326060.00
01-04-1998,26554063955.00
01-05-1998,25856903316.00
01-06-1998,24297332470.00
01-07-1998,24339620621.00
01-08-1998,25109610896.00
01-09-1998,26490107054.00
01-10-1998,26994956681.00
01-11-1998,26919327597.00
01-12-1998,27340724583.00
01-01-1999,27772135521.00
01-02-1999,28454143457.00
01-03-1999,30193325244.00
01-04-1999,30278903895.00
01-05-1999,31270901460.00
01-06-1999,31211936987.00
01-07-1999,31434971491.00
01-08-1999,31271460060.00
01-09-1999,31164189929.00
01-10-1999,31263442418.00
01-11-1999,31990323480.00
01-12-1999,32666742042.00
01-01-2000,32611500238.00
01-02-2000,33452907772.00
01-03-2000,35719638332.00
01-04-2000,35645527071.00
01-05-2000,35038715938.00
01-06-2000,34435868007.00
01-07-2000,33949022578.00
01-08-2000,33426316706.00
01-09-2000,33237932102.00
01-10-2000,32724285606.00
01-11-2000,36913985956.00
01-12-2000,37902244646.00
01-01-2001,39003226307.00
01-02-2001,39529899487.00
01-03-2001,40172290958.00
01-04-2001,40449310789.00
01-05-2001,40788123416.00
01-06-2001,41265074364.00
01-07-2001,41574551460.00
01-08-2001,43171131701.00
01-09-2001,42582516697.00
01-10-2001,42943247466.00
01-11-2001,44648078837.00
01-12-2001,45870471084.00
01-01-2002,47173231707.00
01-02-2002,48332854442.00
01-03-2002,51670489651.00
01-04-2002,52738756981.00
01-05-2002,53530088024.00
01-06-2002,55362893597.00
01-07-2002,57359935037.00
01-08-2002,58931789253.00
01-09-2002,60319439938.00
01-10-2002,61880924833.00
01-11-2002,64274954000.00
01-12-2002,67665482492.00
01-01-2003,70567888294.00
01-02-2003,69822137341.00
01-03-2003,72565583944.00
01-04-2003,74933492177.00
01-05-2003,78634614892.00
01-06-2003,79519443013.00
01-07-2003,81920437080.00
01-08-2003,83583284916.00
01-09-2003,88423384507.00
01-10-2003,89886067494.00
01-11-2003,93373553928.00
01-12-2003,98937910782.00
01-01-2004,102096770444.00
01-02-2004,105384154179.00
01-03-2004,108763543600.00
01-04-2004,114300994566.00
01-05-2004,115406806950.00
01-06-2004,115453499707.00
01-07-2004,114261978852.00
01-08-2004,114014202658.00
01-09-2004,115387539152.00
01-10-2004,116985886127.00
01-11-2004,123686470557.00
01-12-2004,126593287643.00
01-01-2005,125068919186.00
01-02-2005,131519821799.00
01-03-2005,137008340401.00
01-04-2005,137392934254.00
01-05-2005,134348781252.00
01-06-2005,133787216941.00
01-07-2005,136017528555.00
01-08-2005,139545536826.00
01-09-2005,138348338137.00
01-10-2005,138710724234.00
01-11-2005,137895960250.00
01-12-2005,131924326287.00
01-01-2006,134686556094.00
01-02-2006,136640098147.00
01-03-2006,145854117834.00
01-04-2006,154362651036.00
01-05-2006,156844642247.00
01-06-2006,156731992764.00
01-07-2006,158019991894.00
01-08-2006,159707634007.00
01-09-2006,159103351582.00
01-10-2006,161326243414.00
01-11-2006,168150216332.00
01-12-2006,170737998444.00
01-01-2007,173635720629.00
01-02-2007,187683405584.00
01-03-2007,192398122787.00
01-04-2007,197375974912.00
01-05-2007,201161160549.00
01-06-2007,206578992751.00
01-07-2007,220222967457.00
01-08-2007,221969313251.00
01-09-2007,240396462050.00
01-10-2007,256883785634.00
01-11-2007,265163082561.00
01-12-2007,266988346673.00
01-01-2008,284034483771.00
01-02-2008,291676756096.00
01-03-2008,299684068707.00
01-04-2008,304725230353.00
01-05-2008,305407267292.00
01-06-2008,302874407309.00
01-07-2008,296437854547.00
01-08-2008,286613498252.00
01-09-2008,277769994520.00
01-10-2008,244499400687.00
01-11-2008,239758727087.00
01-12-2008,247418901857.00
01-01-2009,239684694690.00
01-02-2009,239490897553.00
01-03-2009,242345224044.00
01-04-2009,242657842725.00
01-05-2009,252608268861.00
01-06-2009,255248377416.00
01-07-2009,261864865906.00
01-08-2009,267318299506.00
01-09-2009,270855254690.00
01-10-2009,273460320826.00
01-11-2009,269968584923.00
01-12-2009,265181731677.00
01-01-2010,262903915108.00
01-02-2010,260441929101.00
01-03-2010,261393478134.00
01-04-2010,261413685972.00
01-05-2010,254636486323.00
01-06-2010,256334199882.00
01-07-2010,265512782366.00
01-08-2010,263145077920.00
01-09-2010,272490421350.00
01-10-2010,276456989263.00
01-11-2010,270429763934.00
01-12-2010,275276605506.00
01-01-2011,277726326615.00
01-02-2011,279878026863.00
01-03-2011,282517257087.00
01-04-2011,290407500909.00
01-05-2011,287804873845.00
01-06-2011,291724459833.00
01-07-2011,294418748742.00
01-08-2011,294347978652.00
01-09-2011,283820533485.00
01-10-2011,290334824449.00
01-11-2011,280841440668.00
01-12-2011,271285421552.00
01-01-2012,267267941138.00
01-02-2012,269029434978.00
01-03-2012,268720680969.00
01-04-2012,269568960011.00
01-05-2012,261740343245.00
01-06-2012,265327695400.00
01-07-2012,265145838576.00
01-08-2012,266324609283.00
01-09-2012,268824543944.00
01-10-2012,269208192227.00
01-11-2012,268828831708.00
01-12-2012,270586506917.00
01-01-2013,270765032752.00
01-02-2013,266795040503.00
01-03-2013,268506783358.00
