date,cpi_us
01-01-1985,3.545644152
01-01-1986,1.898047722
01-01-1987,3.664563218
01-01-1988,4.077741107
01-01-1989,4.82700303
01-01-1990,5.39795644
01-01-1991,4.234963965
01-01-1992,3.028819678
01-01-1993,2.951656966
01-01-1994,2.607441592
01-01-1995,2.805419689
01-01-1996,2.9312042
01-01-1997,2.337689937
01-01-1998,1.552279099
01-01-1999,2.188027197
01-01-2000,3.376857271
01-01-2001,2.826171119
01-01-2002,1.586031627
01-01-2003,2.270094973
01-01-2004,2.677236693
01-01-2005,3.392746845
01-01-2006,3.225944101
01-01-2007,2.852672482
01-01-2008,3.839100297
01-01-2009,-0.355546266
01-01-2010,1.640043442
01-01-2011,3.156841569
01-01-2012,2.069337265
01-01-2013,1.464832656
01-01-2014,1.622222977
01-01-2015,0.118627136
01-01-2016,1.261583206
01-01-2017,2.130110004
01-01-2018,2.442583297
01-01-2019,1.812210075
01-01-2020,1.233584396
01-01-2021,4.697858864
01-01-2022,8.002799821
01-01-2023,4.116338384
01-01-2024,2.949525205
