date,yield_real_us
01-01-2003,2.294285714
01-02-2003,1.99
01-03-2003,1.944285714
01-04-2003,2.183809524
01-05-2003,1.908095238
01-06-2003,1.721904762
01-07-2003,2.109545455
01-08-2003,2.32047619
01-09-2003,2.186190476
01-10-2003,2.076363636
01-11-2003,1.963888889
01-12-2003,1.983636364
01-01-2004,1.8875
01-02-2004,1.762105263
01-03-2004,1.465217391
01-04-2004,1.902857143
01-05-2004,2.09
01-06-2004,2.146190476
01-07-2004,2.024285714
01-08-2004,1.859545455
01-09-2004,1.799047619
01-10-2004,1.729
01-11-2004,1.676
01-12-2004,1.668636364
01-01-2005,1.7235
01-02-2005,1.631052632
01-03-2005,1.787272727
01-04-2005,1.705714286
01-05-2005,1.653333333
01-06-2005,1.674545455
01-07-2005,1.8765
01-08-2005,1.889130435
01-09-2005,1.699047619
01-10-2005,1.9425
01-11-2005,2.0635
01-12-2005,2.123333333
01-01-2006,2.006
01-02-2006,2.048947368
01-03-2006,2.197391304
01-04-2006,2.408947368
01-05-2006,2.445909091
01-06-2006,2.529545455
01-07-2006,2.507
01-08-2006,2.290869565
01-09-2006,2.3195
01-10-2006,2.411428571
01-11-2006,2.291904762
01-12-2006,2.2505
01-01-2007,2.436666667
01-02-2007,2.360526316
01-03-2007,2.176818182
01-04-2007,2.255714286
01-05-2007,2.373636364
01-06-2007,2.690952381
01-07-2007,2.636666667
01-08-2007,2.43826087
01-09-2007,2.257368421
01-10-2007,2.202272727
01-11-2007,1.768
01-12-2007,1.789
01-01-2008,1.469047619
01-02-2008,1.405
01-03-2008,1.091
01-04-2008,1.362272727
01-05-2008,1.46
01-06-2008,1.628571429
01-07-2008,1.569090909
01-08-2008,1.676190476
01-09-2008,1.85
01-10-2008,2.752272727
01-11-2008,2.888333333
01-12-2008,2.17
01-01-2009,1.912
01-02-2009,1.752105263
01-03-2009,1.709090909
01-04-2009,1.567619048
01-05-2009,1.717
01-06-2009,1.862272727
01-07-2009,1.822727273
01-08-2009,1.773809524
01-09-2009,1.641904762
01-10-2009,1.483333333
01-11-2009,1.275263158
01-12-2009,1.364545455
01-01-2010,1.374736842
01-02-2010,1.418947368
01-03-2010,1.50826087
01-04-2010,1.500909091
01-05-2010,1.307
01-06-2010,1.256818182
01-07-2010,1.240952381
01-08-2010,1.021818182
01-09-2010,0.909047619
01-10-2010,0.525
01-11-2010,0.666
01-12-2010,1.044090909
01-01-2011,1.0605
01-02-2011,1.237894737
01-03-2011,0.963913043
01-04-2011,0.8635
01-05-2011,0.778571429
01-06-2011,0.755454545
01-07-2011,0.6235
01-08-2011,0.135217391
01-09-2011,0.077619048
01-10-2011,0.186
01-11-2011,0.0015
01-12-2011,-0.031428571
01-01-2012,-0.108
01-02-2012,-0.2545
01-03-2012,-0.141363636
01-04-2012,-0.213809524
01-05-2012,-0.341363636
01-06-2012,-0.50047619
01-07-2012,-0.601904762
01-08-2012,-0.585652174
01-09-2012,-0.713157895
01-10-2012,-0.748571429
01-11-2012,-0.7725
